NAME,TIME,STABILITY
ROU,2016,0.28
ROU,2017,0.06
ROU,2018,0.05
ROU,2019,0.56
ROU,2020,0.53
ROU,2021,0.53
RUS,2014,-0.94
RUS,2015,-1.03
RUS,2016,-0.95
RUS,2017,-0.64
RUS,2018,-0.54
RUS,2019,-0.56
RUS,2020,-0.68
RUS,2021,-0.65
RWA,2014,-0.31
RWA,2015,0.01
RWA,2016,-0.05
RWA,2017,0.09
RWA,2018,0.11
RWA,2019,0.06
RWA,2020,0.08
RWA,2021,0.17
KNA,2014,0.57
KNA,2015,0.58
KNA,2016,0.63
KNA,2017,0.65
KNA,2018,0.7
KNA,2019,0.72
KNA,2020,0.94
KNA,2021,0.96
LCA,2014,0.82
LCA,2015,0.85
LCA,2016,1.02
LCA,2017,0.99
LCA,2018,1.01
LCA,2019,0.91
LCA,2020,0.87
LCA,2021,0.85
VCT,2014,0.82
VCT,2015,1
VCT,2016,1.02
VCT,2017,0.89
VCT,2018,0.84
VCT,2019,0.95
VCT,2020,1.04
VCT,2021,1.04
WSM,2014,1.12
WSM,2015,1.18
WSM,2016,1.2
WSM,2017,1.18
WSM,2018,1.17
WSM,2019,1.16
WSM,2020,1.16
WSM,2021,1.11
STP,2014,0.18
STP,2015,0.14
