NAME,TIME,DISTANCE
XKX,2019,1568602.59476564
DMA,2019,7001722.49663321
DJI,2019,5595716.89289519
GMB,2019,4556590.35379038
MKD,2019,1634520.44565129
BRB,2019,7065707.49110141
BDI,2019,6463780.48718905
VCT,2019,7171890.31200742
LCA,2019,7083711.34016577
KNA,2019,6926894.79130755
MUS,2019,9424743.92682941
GRD,2019,7302057.53671528
BHR,2019,4757138.81084646
ATG,2019,6881597.59397154
URY,2019,11191906.8098848
TGO,2019,4963914.62926451
TUN,2019,1627264.1837345
ARE,2019,5158218.87107916
TKM,2019,4427307.01619166
ZMB,2019,7701673.19102321
ZWE,2019,8040798.32799701
TLS,2019,12907658.5786806
VUT,2019,16068688.2330773
HND,2019,8913351.88547528
GUY,2019,7513055.23487352
ISL,2019,2134020.25935711
HTI,2019,7500842.21914513
UGA,2019,6201034.88993771
SUR,2019,7398864.27716641
NER,2019,4143527.56276958
TJK,2019,5112867.04172797
PRY,2019,10386742.5377131
NIC,2019,9012855.84149194
SLE,2019,4967961.86979296
PAK,2019,5755330.58123904
NPL,2019,7059572.74069664
ZAF,2019,9114845.2387923
ZAF,2019,8797889.8750031
PNG,2019,14304696.6563222
SLB,2019,14902450.4130928
PAN,2019,8810654.83964328
MAR,2019,2075746.45888378
MDA,2019,1838029.15159367
MOZ,2019,8948038.95437669
SOM,2019,6631362.44572051
OMN,2019,5504893.97984964
LKA,2019,8397920.78878694
MNG,2019,6814871.80067105
NAM,2019,8226771.64152894
NGA,2019,4641579.21651696
GNB,2019,4686336.63414894
JOR,2019,3330485.75517887
KGZ,2019,5224007.34849487
LSO,2019,9165863.47394746
MDG,2019,8803579.29249413
ECU,2019,9522853.954921
CRI,2019,9048605.72623559
SLV,2019,9085482.97256219
JAM,2019,7859037.45880905
TCD,2019,4403194.32082641
GNQ,2019,5235732.32180448
ERI,2019,5006793.25414638
MWI,2019,7731102.32421225
GTM,2019,9097448.37215555
GAB,2019,5612135.11468035
FJI,2019,16338868.742302
MRT,2019,4054181.72141903
MLI,2019,4379998.1769232
LBN,2019,3146962.71004505
GEO,2019,3231990.6387812
KAZ,2019,4539600.4606253
LAO,2019,9042973.55042227
COG,2019,6193798.82874145
GIN,2019,4868779.99343206
CIV,2019,4960438.73317832
CAN,2019,5690557.45715581
SRB,2019,1376614.87893859
BRN,2019,11009540.4917779
BOL,2019,10277319.3424962
BLZ,2019,8753220.48246454
CAF,2019,5319679.76090142
CMR,2019,5249245.18823124
ALB,2019,1591669.05099106
ARM,2019,3306842.51614599
AZE,2019,3669739.31320715
KHM,2019,9752045.27698672
BOL,2019,10235782.4280281
BEN,2019,4933397.61281998
BLR,2019,1611055.69159271
BTN,2019,7375321.55570505
BWA,2019,8625944.75008527
AUS,2019,16714129.139192
BFA,2019,4298603.87899921
BIH,2019,1311963.81681785
MMR,2019,8451208.92041675
TON,2019,16708354.6168775
SOM,2019,5840433.06908975
SYC,2019,7834533.66098228
STP,2019,5601041.90677498
WSM,2019,15885391.182995
MDV,2019,8196133.6626235
ISR,2019,3299618.94558762
CPV,2019,4702151.17170244
BHS,2019,7318463.91576034
NZL,2019,18718433.1494219
VNM,2019,8994270.28242011
TUR,2019,2519559.5878406
YEM,2019,5304284.46168348
SYR,2019,3227431.479877
SDN,2019,4652241.7950681
NOR,2019,1088776.24327453
PRK,2019,8535960.75035763
TZA,2019,7211891.80678046
LBR,2019,5131537.13762644
MYS,2019,10256037.5638773
CUB,2019,7823081.29996835
KWT,2019,4328048.14844455
DOM,2019,7337187.3227442
GHA,2019,5037692.01800207
LBY,2019,2120354.04408503
CIV,2019,5104826.82280221
BRA,2019,8957315.01005131
BGD,2019,7731868.61490007
AGO,2019,6666629.08005391
DZA,2019,1566666.2330281
MMR,2019,8705822.05336082
VEN,2019,7794058.24514218
UKR,2019,1843195.41480565
UZB,2019,4966240.27317477
THA,2019,9262590.91987867
PER,2019,10441056.649642
SEN,2019,4459743.33441958
ZAF,2019,8842227.21118599
KOR,2019,8730563.59669894
PHL,2019,10522476.5695618
COD,2019,6202005.91445946
IND,2019,6426974.12217447
IRQ,2019,3776373.25455577
ETH,2019,5603418.43301099
IRN,2019,4092810.19370584
ARG,2019,11281912.1087782
AFG,2019,5422951.00160944
TWN,2019,9603595.15469765
USA,2019,6230189.82264779
GBR,2019,319908.04775968
SAU,2019,4634932.39807306
RUS,2019,2261862.40448956
MEX,2019,9258834.26751577
CHN,2019,7984825.96814558
KEN,2019,6543934.78251629
IDN,2019,11415821.6770929
COL,2019,8800233.2752244
EGY,2019,3211971.80610104
JPN,2019,9476221.68774838
CHL,2019,11865957.9505718
SGP,2019,10565956.610142
VAT,2018,1171580.13762103
SMR,2018,980288.952698828
LIE,2018,559637.576129932
FSM,2018,13131612.2300428
MHL,2018,13465640.6997942
TUV,2018,15288546.0938844
PLW,2018,11986487.7359203
MCO,2018,822262.653255492
KIR,2018,14123959.6002227
COM,2018,7885949.31247121
AND,2018,949760.544652496
TTO,2018,7406590.09532282
RWA,2018,6339643.57162757
SWZ,2018,8943261.69373481
SSD,2018,5696146.38605587
QAT,2018,4899080.52570481
MNE,2018,1469203.71655355
CHE,2018,492639.082484463
XKX,2018,1568602.59476564
DMA,2018,7001722.49663321
DJI,2018,5595716.89289519
GMB,2018,4556590.35379038
MKD,2018,1634520.44565129
BRB,2018,7065707.49110141
BDI,2018,6463780.48718905
VCT,2018,7171890.31200742
LCA,2018,7083711.34016577
KNA,2018,6926894.79130755
MUS,2018,9424743.92682941
GRD,2018,7302057.53671528
BHR,2018,4757138.81084646
ATG,2018,6881597.59397154
URY,2018,11191906.8098848
TGO,2018,4963914.62926451
